endpoint,source_index,case,layout_index,wind_direction_deg,classic_volume_rmse_mps,dense_volume_rmse_mps,dense_minus_classic_volume_rmse_mps
epoch2500_validation,462,gen_0154_wd270,154,270.0,0.01514248177409172,0.008657686412334442,-0.0064847953617572784
epoch2500_validation,463,gen_0154_wd285,154,285.0,0.012872258201241493,0.00884438119828701,-0.004027877002954483
epoch2500_validation,464,gen_0154_wd300,154,300.0,0.016700726002454758,0.007845975458621979,-0.008854750543832779
epoch2500_validation,474,gen_0158_wd270,158,270.0,0.02060476504266262,0.011953990906476974,-0.008650774136185646
epoch2500_validation,475,gen_0158_wd285,158,285.0,0.01970895379781723,0.01033934485167265,-0.00936960894614458
epoch2500_validation,476,gen_0158_wd300,158,300.0,0.019963741302490234,0.011925795115530491,-0.008037946186959743
epoch2500_validation,480,gen_0160_wd270,160,270.0,0.017473764717578888,0.008725114166736603,-0.008748650550842285
epoch2500_validation,481,gen_0160_wd285,160,285.0,0.013419011607766151,0.007669661194086075,-0.005749350413680077
epoch2500_validation,482,gen_0160_wd300,160,300.0,0.013517241925001144,0.008089577779173851,-0.005427664145827293
epoch2500_validation,486,gen_0162_wd270,162,270.0,0.05012260004878044,0.012611052952706814,-0.03751154709607363
epoch2500_validation,487,gen_0162_wd285,162,285.0,0.02400476485490799,0.012751735746860504,-0.011253029108047485
epoch2500_validation,488,gen_0162_wd300,162,300.0,0.028155332431197166,0.012799604795873165,-0.015355727635324001
epoch2500_validation,504,gen_0168_wd270,168,270.0,0.018790097907185555,0.011942465789616108,-0.0068476321175694466
epoch2500_validation,505,gen_0168_wd285,168,285.0,0.0239590834826231,0.010668196715414524,-0.013290886767208576
epoch2500_validation,506,gen_0168_wd300,168,300.0,0.03056405670940876,0.013190312311053276,-0.017373744398355484
epoch2500_validation,507,gen_0169_wd270,169,270.0,0.02039426565170288,0.009736658073961735,-0.010657607577741146
epoch2500_validation,508,gen_0169_wd285,169,285.0,0.019033158197999,0.010268038138747215,-0.008765120059251785
epoch2500_validation,509,gen_0169_wd300,169,300.0,0.017308594658970833,0.010039162822067738,-0.007269431836903095
epoch2500_validation,516,gen_0172_wd270,172,270.0,0.017227768898010254,0.01300055906176567,-0.004227209836244583
epoch2500_validation,517,gen_0172_wd285,172,285.0,0.014586160890758038,0.008399500511586666,-0.0061866603791713715
epoch2500_validation,518,gen_0172_wd300,172,300.0,0.016144704073667526,0.008427376858890057,-0.00771732721477747
epoch2500_validation,546,gen_0182_wd270,182,270.0,0.03218602389097214,0.01305389404296875,-0.019132129848003387
epoch2500_validation,547,gen_0182_wd285,182,285.0,0.02400142513215542,0.012117868289351463,-0.011883556842803955
epoch2500_validation,548,gen_0182_wd300,182,300.0,0.0287797674536705,0.011865003034472466,-0.016914764419198036
best_test,18,gen_0006_wd270,6,270.0,0.018232813104987144,0.012146922759711742,-0.006085890345275402
best_test,19,gen_0006_wd285,6,285.0,0.013874495401978493,0.010930444113910198,-0.0029440512880682945
best_test,20,gen_0006_wd300,6,300.0,0.01820754073560238,0.012066422030329704,-0.0061411187052726746
best_test,42,gen_0014_wd270,14,270.0,0.01950538530945778,0.011193192563951015,-0.008312192745506763
best_test,43,gen_0014_wd285,14,285.0,0.01990421488881111,0.012333767488598824,-0.007570447400212288
best_test,44,gen_0014_wd300,14,300.0,0.018914202228188515,0.011741726659238338,-0.007172475568950176
best_test,57,gen_0019_wd270,19,270.0,0.02170442044734955,0.012087073177099228,-0.00961734727025032
best_test,58,gen_0019_wd285,19,285.0,0.017082858830690384,0.010548535734415054,-0.00653432309627533
best_test,59,gen_0019_wd300,19,300.0,0.014502431266009808,0.009341202676296234,-0.0051612285897135735
best_test,66,gen_0022_wd270,22,270.0,0.022359216585755348,0.01267332211136818,-0.009685894474387169
best_test,67,gen_0022_wd285,22,285.0,0.02079826407134533,0.012490547262132168,-0.008307716809213161
best_test,68,gen_0022_wd300,22,300.0,0.026250367984175682,0.013535646721720695,-0.012714721262454987
best_test,90,gen_0030_wd270,30,270.0,0.023586055263876915,0.012916484847664833,-0.010669570416212082
best_test,91,gen_0030_wd285,30,285.0,0.02315177395939827,0.012338874861598015,-0.010812899097800255
best_test,92,gen_0030_wd300,30,300.0,0.020138045772910118,0.012557393871247768,-0.00758065190166235
best_test,102,gen_0034_wd270,34,270.0,0.017076551914215088,0.010812502354383469,-0.006264049559831619
best_test,103,gen_0034_wd285,34,285.0,0.016487468034029007,0.01124576386064291,-0.005241704173386097
best_test,104,gen_0034_wd300,34,300.0,0.01628994196653366,0.01119096390902996,-0.0050989780575037
best_test,105,gen_0035_wd270,35,270.0,0.0220037791877985,0.011395582929253578,-0.010608196258544922
best_test,106,gen_0035_wd285,35,285.0,0.014816577546298504,0.008668784983456135,-0.006147792562842369
best_test,107,gen_0035_wd300,35,300.0,0.01599706895649433,0.00898725911974907,-0.007009809836745262
best_test,108,gen_0036_wd270,36,270.0,0.019237587228417397,0.00943682435899973,-0.009800762869417667
best_test,109,gen_0036_wd285,36,285.0,0.01994321122765541,0.01093404833227396,-0.00900916289538145
best_test,110,gen_0036_wd300,36,300.0,0.01783417910337448,0.010996726341545582,-0.006837452761828899
best_test,123,gen_0041_wd270,41,270.0,0.018615443259477615,0.010888363234698772,-0.007727080024778843
